,last_word,conjugated,suffix
301,Халдвар,халдварт,т
302,Халдвар,халдварыг,ыг
303,Халдвар,халдвараас,аас
304,Халдвар,халдвараар,аар
305,Халдвар,халдвартай,тай
306,Өвчин,өвчний,ий
307,Өвчин,өвчинд,д
308,Өвчин,өвчнийг,ийг
309,Өвчин,өвчнөөс,өөс
310,Өвчин,өвчнөөр,өөр
311,Өвчин,өвчинтэй,тэй
312,Институт,институтийн,ийн
313,Институт,институтэд,д
314,Институт,институтийг,ийг
315,Институт,инститтээс,ээс
316,Институт,инститтээр,ээр
317,Институт,институттэй,тэй
318,Найрамдах,найрамдахын,ын
319,Найрамдах,найрамдахад,д
320,Найрамдах,найрамдахыг,ыг
321,Найрамдах,найрамдахаас,аас
322,Найрамдах,найрамдахаар,аар
323,Найрамдах,найрамдахтай,тай
324,Жуулчлал,жуулчлалын,ын
325,Жуулчлал,жуулчлалд,д
326,Жуулчлал,жуулчлалыг,ыг
327,Жуулчлал,жуулчлалаас,аас
328,Жуулчлал,жуулчлалаар,аар
329,Жуулчлал,жуулчлалтай,тай
330,Хэлтэс,хэлтсийн,ийн
331,Хэлтэс,хэлтэст,т
332,Хэлтэс,хэлтсийг,ийг
333,Хэлтэс,хэлтсээс,ээс
334,Хэлтэс,хэлтсээр,ээр
335,Хэлтэс,хэлтэстэй,тэй
336,Хөгжил,хөгжлийн,ийн
337,Хөгжил,хөгжилд,д
338,Хөгжил,хөгжлийг,ийг
339,Хөгжил,хөгжлөөс,өөс
340,Хөгжил,хөгжлөөр,өөр
341,Хөгжил,хөгжилтэй,тэй
342,Байцаагч,байцаагчийн,ийн
343,Байцаагч,байцаагчид,д
344,Байцаагч,байцаагчийг,ийг
345,Байцаагч,байцаагчаас,аас
346,Байцаагч,байцаагчаар,аар
347,Байцаагч,байцаагчтай,тай
348,Спорт,спортын,ын
349,Спорт,спортод,д
350,Спорт,спортыг,ыг
351,Спорт,спортоос,оос
352,Спорт,спортоор,оор
353,Спорт,спорттой,той
354,Тамир,тамирын,ын
355,Тамир,тамирт,т
356,Тамир,тамирыг,ыг
357,Тамир,тамираас,аас
358,Тамир,тамираар,аар
359,Тамир,тамиртай,тай
360,Ажилтан,ажилтны,ы
361,Ажилтан,ажилтанд,д
362,Ажилтан,ажилтныг,ыг
363,Ажилтан,ажилтнаас,аас
364,Ажилтан,ажилтнаар,аар
365,Ажилтан,ажилтантай,тай
366,Хөтөлбөр,хөтөлбөрийн,ийн
367,Хөтөлбөр,хөтөлбөрт,т
368,Хөтөлбөр,хөтөлбөрийг,ийг
369,Хөтөлбөр,хөтөлбөрөөс,өөс
370,Хөтөлбөр,хөтөлбөрөөр,өөр
371,Хөтөлбөр,хөтөлбөртэй,тэй
372,Байгуулалт,байгуулалтын,ын
373,Байгуулалт,байгуулалтад,д
374,Байгуулалт,байгуулалтыг,ыг
375,Байгуулалт,байгуулалтаас,аас
376,Байгуулалт,байгуулалтаар,аар
377,Байгуулалт,байгуулалттай,тай
378,Хэлэлцээр,хэлэлцээрийн,ийн
379,Хэлэлцээр,хэлэлцээрт,т
380,Хэлэлцээр,хэлэлцээрийг,ийг
381,Хэлэлцээр,хэлэлцээрээс,ээс
382,Хэлэлцээр,хэлэлцээрээр,ээр
383,Хэлэлцээр,хэлэлцээртэй,тэй
384,Харилцаа,харилцааны,ны
385,Харилцаа,харилцаанд,д
386,Харилцаа,харилцааг,г
387,Харилцаа,харилцаанаас,аас
388,Харилцаа,харилцаагаар,аар
389,Харилцаа,харилцаатай,тай
390,Оруулагч,оруулагчийн,ийн
391,Оруулагч,оруулагчид,д
392,Оруулагч,оруулагчийг,ийг
393,Оруулагч,оруулагчаас,аас
394,Оруулагч,оруулагчаар,аар
395,Оруулагч,оруулагчтай,тай
396,Салбар,салбарын,ын
397,Салбар,салбарт,т
398,Салбар,салбарыг,ыг
399,Салбар,салбараас,аас
400,Салбар,салбараар,аар
401,Салбар,салбартай,тай
402,Театр,театрын,ын
403,Театр,театрт,т
404,Театр,театрыг,ыг
405,Театр,театраас,аас
406,Театр,театраар,аар
407,Театр,театртай,тай
408,Орнууд,орнуудын,ын
409,Орнууд,орнуудад,д
410,Орнууд,орнуудыг,ыг
411,Орнууд,орнуудаас,аас
412,Орнууд,орнуудаар,аар
413,Орнууд,орнуудтай,тай
414,Бүтээгдэхүүн,бүтээгдэхүүний,ий
415,Бүтээгдэхүүн,бүтээгдэхүүнд,д
416,Бүтээгдэхүүн,бүтээгдэхүүнийг,ийг
417,Бүтээгдэхүүн,бүтээгдэхүүнээс,ээс
418,Бүтээгдэхүүн,бүтээгдэхүүнээр,ээр
419,Бүтээгдэхүүн,бүтээгдэхүүнтэй,тэй
420,ДНК,днкын,ын
421,ДНК,днкд,д
422,ДНК,днкг,г
423,ДНК,днкаас,аас
424,ДНК,днкаар,аар
425,ДНК,днктай,тай
426,Хүчил,хүчлийн,ийн
427,Хүчил,хүчилд,д
428,Хүчил,хүчлийг,ийг
429,Хүчил,хүчлээс,ээс
430,Хүчил,хүчлээр,ээр
431,Хүчил,хүчилтэй,тэй
432,Хомсдол,хомсдолын,ын
433,Хомсдол,хомсдолд,д
434,Хомсдол,хомсдолыг,ыг
435,Хомсдол,хомсдолоос,оос
436,Хомсдол,хомсдолоор,оор
437,Хомсдол,хомсдолтой,той
438,Чуулга,чуулгын,ын
439,Чуулга,чуулгад,д
440,Чуулга,чуулгыг,ыг
441,Чуулга,чуулгаас,аас
442,Чуулга,чуулгаар,аар
443,Чуулга,чуулгатай,тай
444,Дарга,даргын,ын
445,Дарга,даргад,д
446,Дарга,даргыг,ыг
447,Дарга,даргаас,аас
448,Дарга,даргаар,аар
449,Дарга,даргатай,тай
450,ЖАЙКА,жайкагийн,ийн
451,ЖАЙКА,жайкад,д
452,ЖАЙКА,жайкаг,г
453,ЖАЙКА,жайкагаас,аас
454,ЖАЙКА,жайкагаар,аар
455,ЖАЙКА,жайкатай,тай
456,Үйлдвэр,үйлдвэрийн,ийн
457,Үйлдвэр,үйлдвэрт,т
458,Үйлдвэр,үйлдвэрийг,ийг
459,Үйлдвэр,үйлдвэрээс,ээс
460,Үйлдвэр,үйлдвэрээр,ээр
461,Үйлдвэр,үйлдвэртэй,тэй
462,Сан,сангийн,ийн
463,Сан,санд,д
464,Сан,санг,г
465,Сан,сангаас,аас
466,Сан,сангаар,аар
467,Сан,сантай,тай
468,Агентлаг,агентлагийн,ийн
469,Агентлаг,агентлагт,т
470,Агентлаг,агентлагийг,ийг
471,Агентлаг,агентлагаас,аас
472,Агентлаг,агентлагаар,аар
473,Агентлаг,агентлагтай,тай
474,Комисс,комиссын,ын
475,Комисс,комисст,т
476,Комисс,комиссыг,ыг
477,Комисс,комиссоос,оос
478,Комисс,комиссоор,оор
479,Комисс,комисстой,той
480,Зээл,зээлийн,ийн
481,Зээл,зээлд,д
482,Зээл,зээлийг,ийг
483,Зээл,зээлээс,ээс
484,Зээл,зээлээр,ээр
485,Зээл,зээлтэй,тэй
486,Нэгтгэл,нэгтгэлийн,ийн
487,Нэгтгэл,нэгтгэлд,д
488,Нэгтгэл,нэгтгэлийг,ийг
489,Нэгтгэл,нэгтгэлээс,ээс
490,Нэгтгэл,нэгтгэлээр,ээр
491,Нэгтгэл,нэгтгэлтэй,тэй
492,Эрх,эрхийн,ийн
493,Эрх,эрхэд,д
494,Эрх,эрхийг,ийг
495,Эрх,эрхээс,ээс
496,Эрх,эрхээр,ээр
497,Эрх,эрхтэй,тэй
498,Хүчин,хүчний,ий
499,Хүчин,хүчинд,д
500,Хүчин,хүчингийг,ийг
501,Хүчин,хүчингээс,ээс
502,Хүчин,хүчингээр,ээр
503,Хүчин,хүчинтэй,тэй
504,Хууль,хуулийн,ийн
505,Хууль,хуульт,т
506,Хууль,хуулийг,ийг
507,Хууль,хуулиас,аас
508,Хууль,хуулиар,аар
509,Хууль,хуультай,тай
510,Штаб,штабын,ын
511,Штаб,штабт,т
512,Штаб,штабыг,ыг
513,Штаб,штабаас,аас
514,Штаб,штабаар,аар
515,Штаб,штабтай,тай
516,Бонд,бондын,ын
517,Бонд,бондод,д
518,Бонд,бондыг,ыг
519,Бонд,бондоос,оос
520,Бонд,бондоор,оор
521,Бонд,бондтой,той
522,Безопасности,безопасностигийн,ийн
523,Безопасности,безопасностид,д
524,Безопасности,безопасностийг,ийг
525,Безопасности,безопасностигаас,аас
526,Безопасности,безопасностигаар,аар
527,Безопасности,безопасноститай,тай
528,КОЙКА,койкагийн,ийн
529,КОЙКА,койкад,д
530,КОЙКА,койкаг,г
531,КОЙКА,койкагаас,аас
532,КОЙКА,койкагаар,аар
533,КОЙКА,койкатай,тай
534,Трансжендер,трансжендерийн,ийн
535,Трансжендер,трансжендерт,т
536,Трансжендер,трансжендерийг,ийг
537,Трансжендер,трансжендерээс,ээс
538,Трансжендер,трансжендерээр,ээр
539,Трансжендер,трансжендертэй,тэй
540,Корпорац,корпорацын,ын
541,Корпорац,корпорацад,д
542,Корпорац,корпорацыг,ыг
543,Корпорац,корпорацаас,аас
544,Корпорац,корпорацаар,аар
545,Корпорац,корпорацтай,тай
546,МАНАН,манангийн,ийн
547,МАНАН,мананд,д
548,МАНАН,мананыг,ыг
549,МАНАН,манангаас,аас
550,МАНАН,манангаар,аар
551,МАНАН,манантай,тай
552,Хороо,хорооны,ны
553,Хороо,хороонд,нд
554,Хороо,хороог,г
555,Хороо,хорооноос,ноос
556,Хороо,хороогоор,оор
557,Хороо,хороотой,той
558,Эвлэл,эвлэлийн,ийн
559,Эвлэл,эвлэлд,д
560,Эвлэл,эвлэлийг,ийг
561,Эвлэл,эвлэлээс,ээс
562,Эвлэл,эвлэлээр,ээр
563,Эвлэл,эвлэлтэй,тэй
564,Тээвэр,тээврийн,ийн
565,Тээвэр,тээвэрт,т
566,Тээвэр,тээврийг,ийг
567,Тээвэр,тээврээс,ээс
568,Тээвэр,тээврээр,ээр
569,Тээвэр,тээвэртэй,тэй
570,Консорциум,консорциумын,ын
571,Консорциум,консорциумд,д
572,Консорциум,консорциумыг,ыг
573,Консорциум,консорциумаас,аас
574,Консорциум,консорциумаар,аар
575,Консорциум,консорциумтай,тай
576,Мэдээ,мэдээний,ний
577,Мэдээ,мэдээнд,нд
578,Мэдээ,мэдээг,г
579,Мэдээ,мэдээнээс,нээс
580,Мэдээ,мэдээгээр,ээр
581,Мэдээ,мэдээтэй,тэй
582,Зам,замын,ын
583,Зам,замд,д
584,Зам,замыг,ыг
585,Зам,замаас,аас
586,Зам,замаар,аар
587,Зам,замтай,тай
588,Парк,паркийн ,ын
589,Парк,паркад,д
590,Парк,паркийг,ийг
591,Парк,паркаас,аас
592,Парк,паркаар,аар
593,Парк,парктай,тай
594,Багш,багшийн,ийн
595,Багш,багшид,д
596,Багш,багшийг,ийг
597,Багш,багшаас,аас
598,Багш,багшаар,аар
599,Багш,багштай,тай
600,Дасгалжуулагч,дасгалжуулагчийн,ийн
601,Дасгалжуулагч,дасгалжуулагчид,д
602,Дасгалжуулагч,дасгалжуулагчийг,ийг
603,Дасгалжуулагч,дасгалжуулагчаас,аас
604,Дасгалжуулагч,дасгалжуулагчаар,аар
605,Дасгалжуулагч,дасгалжуулагчтай,тай
606,Тамирчин,тамирчны,ы
607,Тамирчин,тамирчинд,д
608,Тамирчин,тамирчныг,ыг
609,Тамирчин,тамирчнаас,аас
610,Тамирчин,тамирчнаар,аар
611,Тамирчин,тамирчинтай,тай
612,Нийгэмлэг,нийгэмлэгийн,ийн
613,Нийгэмлэг,нийгэмлэгт,т
614,Нийгэмлэг,нийгэмлэгийг,ийг
615,Нийгэмлэг,нийгэмлэгээс,ээс
616,Нийгэмлэг,нийгэмлэгээр,ээр
617,Нийгэмлэг,нийгэмлэгтэй,тэй
618,Зүтгэлтэн,зүтгэлтний,ий
619,Зүтгэлтэн,зүтгэлтэнд,д
620,Зүтгэлтэн,зүтгэлтнийг,ийг
621,Зүтгэлтэн,зүтгэлтнээс,нээс
622,Зүтгэлтэн,зүтгэлтнээр,ээр
623,Зүтгэлтэн,зүтгэлтэнтэй,тэй
624,Бирж,биржийн,ийн
625,Бирж,биржид,д
626,Бирж,биржийг,ийг
627,Бирж,биржээс,ээс
628,Бирж,биржээр,ээр
629,Бирж,биржтэй,тэй
630,Нийгэмлэгүүд,нийгэмлэгүүдийн,ийн
631,Нийгэмлэгүүд,нийгэмлэгүүдэд,д
632,Нийгэмлэгүүд,нийгэмлэгүүдийг,ийг
633,Нийгэмлэгүүд,нийгэмлэгүүдээс,ээс
634,Нийгэмлэгүүд,нийгэмлэгүүдээр,ээр
635,Нийгэмлэгүүд,нийгэмлэгүүдтэй,тэй
636,Эрин,эриний,ий
637,Эрин,эринд,д
638,Эрин,эринийг,ийг
639,Эрин,эринээс,ээс
640,Эрин,эринээр,ээр
641,Эрин,эринтэй,тэй
642,Өмнөх,өмнөхийн,ийн
643,Өмнөх,өмнөхөд,д
644,Өмнөх,өмнөхийг,ийг
645,Өмнөх,өмнөхөөс,өөс
646,Өмнөх,өмнөхөөр,өөр
647,Өмнөх,өмнөхтэй,тэй
648,Радио,радиогийн,ийн
649,Радио,радиод,д
650,Радио,радиог,г
651,Радио,радиогоос,оос
652,Радио,радиогоор,оор
653,Радио,радиотой,той
654,Телевиз,телевизийн,ийн
655,Телевиз,телевизэд,д
656,Телевиз,телевизийг,ийг
657,Телевиз,телевизээс,ээс
658,Телевиз,телевизээр,ээр
659,Телевиз,телевизтэй,тэй
660,Танхим,танхимын,ын
661,Танхим,танхимд,д
662,Танхим,танхимыг,ыг
663,Танхим,танхимаас,аас
664,Танхим,танхимаар,аар
665,Танхим,танхимтай,тай
666,Ордон,ордны,ы
667,Ордон,ордонд,д
668,Ордон,ордныг,ыг
669,Ордон,ордноос,оос
670,Ордон,ордноор,оор
671,Ордон,ордонтой,той
672,НАТО,натогийн,ийн
673,НАТО,натод,д
674,НАТО,натог,ыг
675,НАТО,натогоос,оос
676,НАТО,натогоор,оор
677,НАТО,натотой,той
678,Шимтгэл,шимтгэлийн,ийн
679,Шимтгэл,шимтгэлд,д
680,Шимтгэл,шимтгэлийг,ийг
681,Шимтгэл,шимтгэлээс,ээс
682,Шимтгэл,шимтгэлээр,ээр
683,Шимтгэл,шимтгэлтэй,тэй
684,Түншлэл,түншлэлийн,ийн
685,Түншлэл,түншлэлд,д
686,Түншлэл,түншлэлийг,ийг
687,Түншлэл,түншлэлээс,ээс
688,Түншлэл,түншлэлээр,ээр
689,Түншлэл,түншлэлтэй,тэй
690,Комиссариат,комиссариатийн,ийн
691,Комиссариат,комиссариатад,д
692,Комиссариат,комиссариатийг,ийг
693,Комиссариат,комиссариатаас,аас
694,Комиссариат,комиссариатаар,аар
695,Комиссариат,комиссариаттай,тай
696,Форум,форумын,ын
697,Форум,форумд,д
698,Форум,форумыг,ыг
699,Форум,форумаас,аас
700,Форум,форумаар,аар
701,Форум,форумтай,тай
702,Төлөвлөлт,төлөвлөлтийн,ийн
703,Төлөвлөлт,төлөвлөлтөд,д
704,Төлөвлөлт,төлөвлөлтийг,ийг
705,Төлөвлөлт,төлөвлөлтөөс,өөс
706,Төлөвлөлт,төлөвлөлтөөр,өөр
707,Төлөвлөлт,төлөвлөлттэй,тэй
708,Хамгаалал,хамгааллын,ын
709,Хамгаалал,хамгаалалд,д
710,Хамгаалал,хамгааллыг,ыг
711,Хамгаалал,хамгааллаас,аас
712,Хамгаалал,хамгааллаар,аар
713,Хамгаалал,хамгаалалтай,тай
714,Толгой,толгойн,н
715,Толгой,толгойд,д
716,Толгой,толгойг,г
717,Толгой,толгойноос,ноос
718,Толгой,толгойгоор,оор
719,Толгой,толгойтой,той
720,Буудал,буудлын,ын
721,Буудал,буудалд,д
722,Буудал,буудлыг,ыг
723,Буудал,буудлаас,аас
724,Буудал,буудлаар,аар
725,Буудал,буудалтай,тай
726,Өдөр,өдрийн,ийн
727,Өдөр,өдөрт,т
728,Өдөр,өдрийг,ийг
729,Өдөр,өдрөөс,өөс
730,Өдөр,өдрөөр,өөр
731,Өдөр,өдөртэй,тэй
732,Мастер,мастерын,ын
733,Мастер,мастерт,т
734,Мастер,мастерыг,ыг
735,Мастер,мастераас,аас
736,Мастер,мастераар,аар
737,Мастер,мастертай,тай
738,Тоосонцор,тоосонцрын,ын
739,Тоосонцор,тоосонцорт,т
740,Тоосонцор,тоосонцрыг,ыг
741,Тоосонцор,тоосонцроос,оос
742,Тоосонцор,тоосонцроор,оор
743,Тоосонцор,тоосонцортой,той
744,СССР,сссрын,ын
745,СССР,сссрд,д
746,СССР,сссрыг,ыг
747,СССР,сссраас,аас
748,СССР,сссраар,аар
749,СССР,сссртай,тай
750,Өргөө,өргөөний,ний
751,Өргөө,өргөөнд,нд
752,Өргөө,өргөөг,г
753,Өргөө,өргөөнөөс,нөөс
754,Өргөө,өргөөгөөр,өөр
755,Өргөө,өргөөтэй,тэй
756,Дохио,дохионы,ны
757,Дохио,дохионд,нд
758,Дохио,дохиог,г
759,Дохио,дохионоос,ноос
760,Дохио,дохионоор,ноор
761,Дохио,дохиотой,той
762,Систем,системийн,ийн
